Region,never,rarely,sometimes,often
Baden-Württemberg,24,41,0,35
Bayern,17,50,0,33
Berlin,20,20,0,60
Brandenburg,0,25,0,75
Bremen,0,50,0,50
Hamburg,13,75,0,13
Hessen,10,40,0,50
Mecklenburg-Vorpommern,50,50,0,0
Niedersachsen,9,0,0,91
Nordrhein-Westfalen,9,41,0,50
Rheinland-Pfalz,0,80,0,20
Saarland,0,50,0,50
Sachsen,0,60,0,40
Sachsen-Anhalt,0,67,0,33
Schleswig-Holstein,50,50,0,0
Thüringen,0,50,0,50
